                                                                                                                                                                
Epoch 0 | Batch  3640 | Total:     1.5615 | Pred:  0.9612 | Var:  0.6578 | Cov:  0.3702
Epoch 0 | Batch  3705 | Total:     1.5482 | Pred:  0.9484 | Var:  0.6534 | Cov:  0.3857
Epoch 0 | Batch  3770 | Total:     1.5432 | Pred:  0.9521 | Var:  0.6499 | Cov:  0.3562
Epoch 0 | Batch  3835 | Total:     1.5449 | Pred:  0.9456 | Var:  0.6537 | Cov:  0.3820
Epoch 0 | Batch  3900 | Total:     1.5397 | Pred:  0.9473 | Var:  0.6521 | Cov:  0.3539
Epoch 0 | Batch  3965 | Total:     1.5664 | Pred:  0.9667 | Var:  0.6560 | Cov:  0.3745
Epoch 0 | Batch  4030 | Total:     1.5246 | Pred:  0.9258 | Var:  0.6571 | Cov:  0.3657
Epoch 0 | Batch  4095 | Total:     1.5084 | Pred:  0.9041 | Var:  0.6556 | Cov:  0.3991
Epoch 0 | Batch  4160 | Total:     1.5572 | Pred:  0.9555 | Var:  0.6575 | Cov:  0.3784
Epoch 0 | Batch  4225 | Total:     1.5745 | Pred:  0.9657 | Var:  0.6593 | Cov:  0.4069
Epoch 0 | Batch  4290 | Total:     1.5276 | Pred:  0.9258 | Var:  0.6556 | Cov:  0.3866
Epoch 0 | Batch  4355 | Total:     1.5638 | Pred:  0.9638 | Var:  0.6556 | Cov:  0.3775
Epoch 0 | Batch  4420 | Total:     1.5270 | Pred:  0.9257 | Var:  0.6589 | Cov:  0.3711
Epoch 0 | Batch  4485 | Total:     1.5772 | Pred:  0.9739 | Var:  0.6576 | Cov:  0.3861
Epoch 0 | Batch  4550 | Total:     1.5530 | Pred:  0.9542 | Var:  0.6598 | Cov:  0.3552

Epoch 0 Summary:
Average Train Loss: 1.6075
Validation Loss: 1.4679
Learning Rate: 0.000025

Epoch 1 | Batch     0 | Total:     1.5726 | Pred:  0.9676 | Var:  0.6575 | Cov:  0.3951
Epoch 1 | Batch    65 | Total:     1.5389 | Pred:  0.9334 | Var:  0.6568 | Cov:  0.3998
Epoch 1 | Batch   130 | Total:     1.5209 | Pred:  0.9214 | Var:  0.6568 | Cov:  0.3707
Epoch 1 | Batch   195 | Total:     1.5239 | Pred:  0.9250 | Var:  0.6558 | Cov:  0.3716
Epoch 1 | Batch   260 | Total:     1.5239 | Pred:  0.9276 | Var:  0.6570 | Cov:  0.3539
Epoch 1 | Batch   325 | Total:     1.5093 | Pred:  0.9151 | Var:  0.6560 | Cov:  0.3470
Epoch 1 | Batch   390 | Total:     1.5421 | Pred:  0.9431 | Var:  0.6571 | Cov:  0.3667
Epoch 1 | Batch   455 | Total:     1.5263 | Pred:  0.9226 | Var:  0.6628 | Cov:  0.3672
Epoch 1 | Batch   520 | Total:     1.5383 | Pred:  0.9420 | Var:  0.6571 | Cov:  0.3532
Epoch 1 | Batch   585 | Total:     1.5155 | Pred:  0.9161 | Var:  0.6585 | Cov:  0.3629
Epoch 1 | Batch   650 | Total:     1.5105 | Pred:  0.9111 | Var:  0.6593 | Cov:  0.3596
Epoch 1 | Batch   715 | Total:     1.6008 | Pred:  0.9911 | Var:  0.6626 | Cov:  0.3986
Epoch 1 | Batch   780 | Total:     1.5225 | Pred:  0.9163 | Var:  0.6614 | Cov:  0.3851
Epoch 1 | Batch   845 | Total:     1.5453 | Pred:  0.9362 | Var:  0.6600 | Cov:  0.4052
Epoch 1 | Batch   910 | Total:     1.5282 | Pred:  0.9282 | Var:  0.6594 | Cov:  0.3622
Epoch 1 | Batch   975 | Total:     1.5325 | Pred:  0.9328 | Var:  0.6576 | Cov:  0.3679
Epoch 1 | Batch  1040 | Total:     1.5208 | Pred:  0.9117 | Var:  0.6603 | Cov:  0.4041
Epoch 1 | Batch  1105 | Total:     1.5295 | Pred:  0.9177 | Var:  0.6615 | Cov:  0.4129
Epoch 1 | Batch  1170 | Total:     1.5148 | Pred:  0.9144 | Var:  0.6594 | Cov:  0.3648
Epoch 1 | Batch  1235 | Total:     1.5459 | Pred:  0.9272 | Var:  0.6648 | Cov:  0.4349
Epoch 1 | Batch  1300 | Total:     1.5043 | Pred:  0.9079 | Var:  0.6602 | Cov:  0.3414
Epoch 1 | Batch  1365 | Total:     1.5415 | Pred:  0.9359 | Var:  0.6618 | Cov:  0.3811
Epoch 1 | Batch  1430 | Total:     1.5269 | Pred:  0.9192 | Var:  0.6614 | Cov:  0.3928
Epoch 1 | Batch  1495 | Total:     1.5235 | Pred:  0.9166 | Var:  0.6614 | Cov:  0.3886
Epoch 1 | Batch  1560 | Total:     1.5508 | Pred:  0.9340 | Var:  0.6656 | Cov:  0.4212
Epoch 1 | Batch  1625 | Total:     1.5521 | Pred:  0.9365 | Var:  0.6694 | Cov:  0.4001
Epoch 1 | Batch  1690 | Total:     1.5096 | Pred:  0.9073 | Var:  0.6628 | Cov:  0.3606
Epoch 1 | Batch  1755 | Total:     1.5269 | Pred:  0.9278 | Var:  0.6604 | Cov:  0.3538
Epoch 1 | Batch  1820 | Total:     1.5397 | Pred:  0.9294 | Var:  0.6633 | Cov:  0.3980
Epoch 1 | Batch  1885 | Total:     1.5404 | Pred:  0.9351 | Var:  0.6635 | Cov:  0.3727
Epoch 1 | Batch  1950 | Total:     1.5461 | Pred:  0.9363 | Var:  0.6645 | Cov:  0.3908
Epoch 1 | Batch  2015 | Total:     1.5149 | Pred:  0.9102 | Var:  0.6638 | Cov:  0.3681
Epoch 1 | Batch  2080 | Total:     1.5383 | Pred:  0.9249 | Var:  0.6639 | Cov:  0.4111
Epoch 1 | Batch  2145 | Total:     1.4935 | Pred:  0.8937 | Var:  0.6605 | Cov:  0.3569
Epoch 1 | Batch  2210 | Total:     1.5317 | Pred:  0.9210 | Var:  0.6635 | Cov:  0.3998
Epoch 1 | Batch  2275 | Total:     1.5346 | Pred:  0.9280 | Var:  0.6608 | Cov:  0.3899
Epoch 1 | Batch  2340 | Total:     1.5205 | Pred:  0.9052 | Var:  0.6676 | Cov:  0.4060
Epoch 1 | Batch  2405 | Total:     1.5396 | Pred:  0.9274 | Var:  0.6659 | Cov:  0.3976
Epoch 1 | Batch  2470 | Total:     1.5188 | Pred:  0.9127 | Var:  0.6632 | Cov:  0.3772
Epoch 1 | Batch  2535 | Total:     1.5300 | Pred:  0.9224 | Var:  0.6642 | Cov:  0.3812
Epoch 1 | Batch  2600 | Total:     1.5153 | Pred:  0.9106 | Var:  0.6631 | Cov:  0.3710
Epoch 1 | Batch  2665 | Total:     1.5563 | Pred:  0.9417 | Var:  0.6618 | Cov:  0.4259
Epoch 1 | Batch  2730 | Total:     1.5167 | Pred:  0.9097 | Var:  0.6643 | Cov:  0.3777
Epoch 1 | Batch  2795 | Total:     1.5622 | Pred:  0.9506 | Var:  0.6659 | Cov:  0.3941
Epoch 1 | Batch  2860 | Total:     1.5228 | Pred:  0.9170 | Var:  0.6640 | Cov:  0.3735
Epoch 1 | Batch  2925 | Total:     1.5048 | Pred:  0.8994 | Var:  0.6645 | Cov:  0.3688
Epoch 1 | Batch  2990 | Total:     1.5256 | Pred:  0.9157 | Var:  0.6609 | Cov:  0.4057
Epoch 1 | Batch  3055 | Total:     1.5120 | Pred:  0.9017 | Var:  0.6687 | Cov:  0.3764
Epoch 1 | Batch  3120 | Total:     1.4971 | Pred:  0.8935 | Var:  0.6650 | Cov:  0.3581
Epoch 1 | Batch  3185 | Total:     1.5391 | Pred:  0.9277 | Var:  0.6624 | Cov:  0.4072
Epoch 1 | Batch  3250 | Total:     1.5536 | Pred:  0.9328 | Var:  0.6695 | Cov:  0.4261
